CAMPUS,CAMPNAME,CFLALTED,CFLCHART,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"014907102","ROGERS EL","N","N","ROGERS ISD","014907","PK - 05","E"
"014908001","SALADO H S","N","N","SALADO ISD","014908","09 - 12","S"
"014908005","BELL COUNTY DAEP","N","N","SALADO ISD","014908","10 - 10","S"
"014908042","SALADO J H","N","N","SALADO ISD","014908","06 - 08","M"
"014908102","THOMAS ARNOLD EL","N","N","SALADO ISD","014908","EE - 05","E"
"014909002","TEMPLE H S","N","N","TEMPLE ISD","014909","09 - 12","S"
"014909005","WHEATLEY ALTERNATIVE EDUCATION CEN","N","N","TEMPLE ISD","014909","06 - 12","B"
"014909006","BELL CO J J A E P","N","N","TEMPLE ISD","014909","08 - 12","S"
"014909008","FRED W EDWARDS ACADEMY AEC","Y","N","TEMPLE ISD","014909","09 - 12","S"
"014909041","LAMAR MIDDLE","N","N","TEMPLE ISD","014909","06 - 08","M"
"014909042","TRAVIS SCIENCE ACADEMY","N","N","TEMPLE ISD","014909","06 - 08","M"
"014909044","BONHAM MIDDLE","N","N","TEMPLE ISD","014909","06 - 08","M"
"014909101","MERIDITH-DUNBAR EARLY CHILDHOOD AC","N","N","TEMPLE ISD","014909","EE - PK","E"
"014909102","CATER EL","N","N","TEMPLE ISD","014909","KG - 05","E"
"014909107","JEFFERSON EL","N","N","TEMPLE ISD","014909","KG - 05","E"
"014909110","SCOTT EL","N","N","TEMPLE ISD","014909","KG - 05","E"
"014909111","THORNTON EL","N","N","TEMPLE ISD","014909","KG - 05","E"
"014909114","WESTERN HILLS EL","N","N","TEMPLE ISD","014909","KG - 05","E"
"014909116","RAYE-ALLEN EL","N","N","TEMPLE ISD","014909","EE - 05","E"
"014909117","KENNEDY-POWELL EL","N","N","TEMPLE ISD","014909","KG - 05","E"
"014909118","HECTOR P GARCIA EL","N","N","TEMPLE ISD","014909","KG - 05","E"
"014909198","SCOTT & WHITE HOSPITAL","N","N","TEMPLE ISD","014909","05 - 05","E"
"014910001","TROY H S","N","N","TROY ISD","014910","09 - 12","S"
"014910041","RAYMOND MAYS MIDDLE","N","N","TROY ISD","014910","06 - 08","M"
"014910101","TROY EL","N","N","TROY ISD","014910","02 - 05","E"
"014910103","EDNA BIGHAM MAYS EL","N","N","TROY ISD","014910","EE - 01","E"
